model,table_size,num_features,eval_position,run,status,error,synchronized_elapsed_seconds,internal_unsynchronized_seconds
hybrid_8l,4096,100,2048,9,ok,,0.6912841710727662,0.010303974151611328
hybrid_12l,4096,100,2048,9,ok,,0.7299742528703064,0.014642477035522461
tabpfn,4096,100,2048,9,ok,,0.7672967938706279,0.009269952774047852
hydra,4096,100,2048,9,ok,,1.0807149880565703,0.03231310844421387
hybrid_12l,4096,100,2048,10,ok,,0.728150465991348,0.014560937881469727
hybrid_8l,4096,100,2048,10,ok,,0.693160975119099,0.010256767272949219
hydra,4096,100,2048,10,ok,,1.0830829730257392,0.03240227699279785
tabpfn,4096,100,2048,10,ok,,0.7437279520090669,0.009346485137939453
hydra,8192,100,4096,1,ok,,1.894480026094243,0.032273292541503906
hybrid_8l,8192,100,4096,1,ok,,1.1481321998871863,0.01028132438659668
tabpfn,8192,100,4096,1,ok,,1.3125841419678181,0.009431123733520508
hybrid_12l,8192,100,4096,1,ok,,1.3336331760510802,0.014629364013671875
tabpfn,8192,100,4096,2,ok,,1.3134827020112425,0.009579181671142578
hybrid_8l,8192,100,4096,2,ok,,1.1454883960541338,0.010364294052124023
hybrid_12l,8192,100,4096,2,ok,,1.2719141838606447,0.015144586563110352
hydra,8192,100,4096,2,ok,,1.8962270128540695,0.03257298469543457
hybrid_8l,8192,100,4096,3,ok,,1.1597693420480937,0.010894775390625
hydra,8192,100,4096,3,ok,,1.908844857942313,0.032318115234375
hybrid_12l,8192,100,4096,3,ok,,1.2366652060300112,0.01457524299621582
tabpfn,8192,100,4096,3,ok,,1.3109720749780536,0.009610891342163086
tabpfn,8192,100,4096,4,ok,,1.312780881067738,0.00931406021118164
hybrid_8l,8192,100,4096,4,ok,,1.1484691340010613,0.010344505310058594
hybrid_12l,8192,100,4096,4,ok,,1.230598796159029,0.014948844909667969
hydra,8192,100,4096,4,ok,,1.8946076191496104,0.03222250938415527
tabpfn,8192,100,4096,5,ok,,1.3124465821310878,0.009499549865722656
hybrid_12l,8192,100,4096,5,ok,,1.229926418978721,0.014690637588500977
hydra,8192,100,4096,5,ok,,1.8882283449638635,0.032013893127441406
hybrid_8l,8192,100,4096,5,ok,,1.1450480041094124,0.01014256477355957
