did,dataset_name,model,num_samples,num_features,eval_position,run,status,error,synchronized_elapsed_seconds,internal_unsynchronized_seconds,mean_metric
16,mfeat-karhunen,tabpfn,2000,64,972,1,ok,,0.31078098621219397,0.056292951107025146,0.9949474930763245
16,mfeat-karhunen,hydra,2000,64,972,1,ok,,0.3150853402912617,0.0638201218098402,0.9864488840103149
16,mfeat-karhunen,tabpfn,2000,64,972,2,ok,,0.31192651577293873,0.05648227967321873,0.9969623684883118
16,mfeat-karhunen,hybrid_8l,2000,64,972,2,ok,,0.2951074941083789,0.04140826407819986,0.9961678981781006
16,mfeat-karhunen,hydra,2000,64,972,2,ok,,0.3168523767963052,0.06382802687585354,0.9898191690444946
16,mfeat-karhunen,tabpfn,2000,64,972,3,ok,,0.31054448802024126,0.056409673765301704,0.9948896169662476
16,mfeat-karhunen,hybrid_8l,2000,64,972,3,ok,,0.29447268042713404,0.0413630586117506,0.9949135780334473
16,mfeat-karhunen,hydra,2000,64,972,3,ok,,0.3191680945456028,0.06384772434830666,0.9873192310333252
16,mfeat-karhunen,hydra,2000,64,972,4,ok,,0.3193161552771926,0.06437407992780209,0.993351399898529
16,mfeat-karhunen,tabpfn,2000,64,972,4,ok,,0.31110007129609585,0.05615359731018543,0.9984362125396729
16,mfeat-karhunen,hybrid_8l,2000,64,972,4,ok,,0.29269746877253056,0.041259171441197395,0.9983769059181213
16,mfeat-karhunen,tabpfn,2000,64,972,5,ok,,0.3139903349801898,0.056443517096340656,0.9969795346260071
16,mfeat-karhunen,hydra,2000,64,972,5,ok,,0.32131168618798256,0.06389325018972158,0.9898945689201355
16,mfeat-karhunen,hybrid_8l,2000,64,972,5,ok,,0.2995671611279249,0.041251165792346,0.9962977170944214
16,mfeat-karhunen,hybrid_8l,2000,64,972,6,ok,,0.29524311143904924,0.04173864983022213,0.9950124621391296
16,mfeat-karhunen,hydra,2000,64,972,6,ok,,0.323101295158267,0.06393357552587986,0.9858911037445068
16,mfeat-karhunen,tabpfn,2000,64,972,6,ok,,0.33394796401262283,0.056005447171628475,0.9938654899597168
16,mfeat-karhunen,hydra,2000,64,972,7,ok,,0.3194926083087921,0.06404930539429188,0.9904475212097168
16,mfeat-karhunen,hybrid_8l,2000,64,972,7,ok,,0.29808162804692984,0.04131700098514557,0.9976305365562439
